Hourly measurement data supplied by UK-air on 31/10/2024,,,,,,,
All Data GMT hour ending,,,,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,,,,
Site Name,,Stoke-on-Trent Centre,,,,,
Latitude,,53.02821,,,,,
Longitude,,-2.175133,,,,,
Site Type,,Urban Background,,,,,
Zone,,West Midlands,,,,,
Agglomeration,,The Potteries,,,,,
Local Authority,,Stoke,,,,,
Date,Time,Ozone,Units,Nitric oxide,Units,Nitrogen dioxide,Units
2017-01-01,01:00:00,47.07657,ug m-3,3.06753,ug m-3,17.00404,ug m-3
2017-01-01,02:00:00,44.09034,ug m-3,4.23334,ug m-3,19.90084,ug m-3
2017-01-01,03:00:00,44.48166,ug m-3,5.28076,ug m-3,19.86275,ug m-3
2017-01-01,04:00:00,45.01551,ug m-3,5.37836,ug m-3,19.36645,ug m-3
2017-01-01,05:00:00,45.54786,ug m-3,5.05437,ug m-3,16.05305,ug m-3
2017-01-01,06:00:00,46.56168,ug m-3,12.31116,ug m-3,20.81135,ug m-3
2017-01-01,07:00:00,55.73491,ug m-3,7.16013,ug m-3,10.79558,ug m-3
2017-01-01,08:00:00,65.92246,ug m-3,0.77769,ug m-3,5.58737,ug m-3
2017-01-01,09:00:00,72.5891,ug m-3,1.26383,ug m-3,5.18766,ug m-3
2017-01-01,10:00:00,75.57616,ug m-3,1.32838,ug m-3,5.43533,ug m-3
2017-01-01,11:00:00,73.44276,ug m-3,2.85102,ug m-3,8.79128,ug m-3
2017-01-01,12:00:00,69.44238,ug m-3,5.0868,ug m-3,13.3306,ug m-3
2017-01-01,13:00:00,55.46849,ug m-3,11.72867,ug m-3,23.23831,ug m-3
2017-01-01,14:00:00,51.68214,ug m-3,13.28312,ug m-3,27.3368,ug m-3
2017-01-01,15:00:00,57.22869,ug m-3,11.43681,ug m-3,19.72648,ug m-3
2017-01-01,16:00:00,48.21462,ug m-3,16.32872,ug m-3,22.51921,ug m-3
2017-01-01,17:00:00,38.88123,ug m-3,20.28141,ug m-3,29.12642,ug m-3
2017-01-01,18:00:00,38.66769,ug m-3,14.44966,ug m-3,29.40899,ug m-3
2017-01-01,19:00:00,40.85447,ug m-3,6.02633,ug m-3,24.36095,ug m-3
2017-01-01,20:00:00,38.29449,ug m-3,8.22906,ug m-3,27.46589,ug m-3
2017-01-01,21:00:00,33.22741,ug m-3,13.12128,ug m-3,30.25718,ug m-3
2017-01-01,22:00:00,41.97406,ug m-3,6.57701,ug m-3,21.73508,ug m-3
2017-01-01,23:00:00,54.56144,ug m-3,4.73039,ug m-3,15.06524,ug m-3
2017-01-01,24:00:00,61.17519,ug m-3,4.4064,ug m-3,9.72267,ug m-3
2017-01-02,01:00:00,67.84316,ug m-3,1.81441,ug m-3,6.18248,ug m-3
2017-01-02,02:00:00,67.69947,ug m-3,0.90679,ug m-3,5.9262,ug m-3
2017-01-02,03:00:00,60.48218,ug m-3,1.10137,ug m-3,7.11163,ug m-3
2017-01-02,04:00:00,49.92194,ug m-3,1.32838,ug m-3,10.42169,ug m-3
2017-01-02,05:00:00,44.322,ug m-3,2.1385,ug m-3,12.09608,ug m-3
2017-01-02,06:00:00,45.60175,ug m-3,1.16623,ug m-3,11.26319,ug m-3
2017-01-02,07:00:00,36.42801,ug m-3,5.70203,ug m-3,17.55818,ug m-3
2017-01-02,08:00:00,24.69379,ug m-3,12.27936,ug m-3,31.45011,ug m-3
2017-01-02,09:00:00,20.00091,ug m-3,24.94694,ug m-3,39.76135,ug m-3
2017-01-02,10:00:00,16.42661,ug m-3,27.92767,ug m-3,46.85912,ug m-3
2017-01-02,11:00:00,13.17362,ug m-3,51.96751,ug m-3,59.13976,ug m-3
2017-01-02,12:00:00,13.6002,ug m-3,67.68068,ug m-3,65.8469,ug m-3
2017-01-02,13:00:00,17.92039,ug m-3,63.7283,ug m-3,63.99608,ug m-3
2017-01-02,14:00:00,24.58752,ug m-3,41.69693,ug m-3,52.19547,ug m-3
2017-01-02,15:00:00,24.85395,ug m-3,32.91718,ug m-3,44.79505,ug m-3
2017-01-02,16:00:00,10.66652,ug m-3,33.66213,ug m-3,59.02836,ug m-3
2017-01-02,17:00:00,2.45371,ug m-3,94.66882,ug m-3,75.09001,ug m-3
2017-01-02,18:00:00,2.24017,ug m-3,95.57592,ug m-3,80.37377,ug m-3
2017-01-02,19:00:00,2.40033,ug m-3,57.99384,ug m-3,75.26118,ug m-3
2017-01-02,20:00:00,1.86648,ug m-3,76.59015,ug m-3,74.53156,ug m-3
2017-01-02,21:00:00,3.99988,ug m-3,75.87731,ug m-3,65.19378,ug m-3
2017-01-02,22:00:00,5.0137,ug m-3,59.41888,ug m-3,66.40248,ug m-3
2017-01-02,23:00:00,10.0269,ug m-3,43.15471,ug m-3,56.2887,ug m-3
2017-01-02,24:00:00,21.38742,ug m-3,12.18207,ug m-3,38.07596,ug m-3
2017-01-03,01:00:00,36.55258,ug m-3,1.16623,ug m-3,21.54623,ug m-3
2017-01-03,02:00:00,43.52156,ug m-3,1.59821,ug m-3,9.54656,ug m-3
2017-01-03,03:00:00,43.94831,ug m-3,0.90679,ug m-3,10.17832,ug m-3
2017-01-03,04:00:00,48.53542,ug m-3,1.10137,ug m-3,8.29738,ug m-3
2017-01-03,05:00:00,54.82837,ug m-3,0.9071,ug m-3,7.35978,ug m-3
2017-01-03,06:00:00,52.58819,ug m-3,2.20304,ug m-3,10.51445,ug m-3
2017-01-03,07:00:00,46.08171,ug m-3,4.11484,ug m-3,19.20054,ug m-3
2017-01-03,08:00:00,37.12102,ug m-3,11.24192,ug m-3,28.54215,ug m-3
2017-01-03,09:00:00,33.92091,ug m-3,20.0226,ug m-3,38.11708,ug m-3
2017-01-03,10:00:00,34.08107,ug m-3,32.85232,ug m-3,40.14816,ug m-3
2017-01-03,11:00:00,44.10846,ug m-3,25.59491,ug m-3,33.77523,ug m-3
2017-01-03,12:00:00,52.26838,ug m-3,22.90542,ug m-3,28.80225,ug m-3
2017-01-03,13:00:00,53.22881,ug m-3,No data,ug m-3,No data,ug m-3
2017-01-03,14:00:00,46.98826,ug m-3,28.96418,ug m-3,29.30141,ug m-3
2017-01-03,15:00:00,44.53454,ug m-3,25.82161,ug m-3,30.70806,ug m-3
2017-01-03,16:00:00,49.60163,ug m-3,16.00504,ug m-3,21.88139,ug m-3
2017-01-03,17:00:00,42.77484,ug m-3,22.5172,ug m-3,32.41353,ug m-3
2017-01-03,18:00:00,45.17467,ug m-3,10.10781,ug m-3,28.7487,ug m-3
2017-01-03,19:00:00,49.54774,ug m-3,5.70203,ug m-3,22.89788,ug m-3
2017-01-03,20:00:00,51.09541,ug m-3,3.49899,ug m-3,19.74991,ug m-3
2017-01-03,21:00:00,53.9752,ug m-3,4.01755,ug m-3,14.75255,ug m-3
2017-01-03,22:00:00,57.70866,ug m-3,1.91149,ug m-3,10.56561,ug m-3
2017-01-03,23:00:00,56.21538,ug m-3,3.20743,ug m-3,13.27514,ug m-3
2017-01-03,24:00:00,63.25521,ug m-3,1.8142,ug m-3,7.35261,ug m-3
2017-01-04,01:00:00,64.71323,ug m-3,0.99244,ug m-3,5.39962,ug m-3
2017-01-04,02:00:00,62.36629,ug m-3,0.64735,ug m-3,6.78619,ug m-3
2017-01-04,03:00:00,64.42918,ug m-3,0.25913,ug m-3,4.69471,ug m-3
2017-01-04,04:00:00,65.01542,ug m-3,0.2267,ug m-3,5.18909,ug m-3
2017-01-04,05:00:00,63.36248,ug m-3,0.12972,ug m-3,5.63518,ug m-3
2017-01-04,06:00:00,61.06842,ug m-3,0.4852,ug m-3,8.40161,ug m-3
2017-01-04,07:00:00,52.42854,ug m-3,6.76473,ug m-3,17.85701,ug m-3
2017-01-04,08:00:00,46.8281,ug m-3,12.49358,ug m-3,29.73794,ug m-3
2017-01-04,09:00:00,32.9081,ug m-3,23.17515,ug m-3,43.27031,ug m-3
2017-01-04,10:00:00,28.10744,ug m-3,44.8289,ug m-3,53.52323,ug m-3
2017-01-04,11:00:00,23.52032,ug m-3,62.56644,ug m-3,63.94922,ug m-3
2017-01-04,12:00:00,18.82743,ug m-3,76.58141,ug m-3,66.14047,ug m-3
