Reactant_1_Name,Reactant_2_Name,Ligand_Short_Hand,Reagent_1_Short_Hand,Solvent_1_Short_Hand
Potassium quinoline-6-trifluoroborate,"2d, Bromide",P(o-Tol)3,Et3N,MeCN
Potassium quinoline-6-trifluoroborate,"2d, Bromide",CataCXium A,NaOH,THF
6-Iodoquinoline,"2a, Boronic Acid",P(Cy)3,NaHCO3,THF
Potassium quinoline-6-trifluoroborate,"2d, Bromide",AmPhos,K3PO4,MeCN
6-Bromoquinoline,"2c, Trifluoroborate",AmPhos,NaHCO3,DMF
6-quinoline-boronic acid hydrochloride,"2d, Bromide",P(o-Tol)3,NaOH,MeCN
6-quinoline-boronic acid hydrochloride,"2d, Bromide",P(o-Tol)3,Et3N,MeCN
6-Iodoquinoline,"2c, Trifluoroborate",SPhos,NaHCO3,DMF
6-Bromoquinoline,"2a, Boronic Acid",CataCXium A,No Base,THF
Potassium quinoline-6-trifluoroborate,"2d, Bromide",XPhos,Et3N,MeOH
6-Iodoquinoline,"2a, Boronic Acid",CataCXium A,NaHCO3,THF
6-Bromoquinoline,"2c, Trifluoroborate",XPhos,Et3N,THF
6-triflatequinoline,"2c, Trifluoroborate",AmPhos,Et3N,MeOH
6-Iodoquinoline,"2b, Boronic Ester",SPhos,Et3N,MeOH
6-Bromoquinoline,"2c, Trifluoroborate",P(tBu)3,LiOtBu,MeOH
6-Bromoquinoline,"2b, Boronic Ester",AmPhos,NaOH,DMF
6-triflatequinoline,"2c, Trifluoroborate",P(Cy)3,CsF,MeOH
6-triflatequinoline,"2a, Boronic Acid",P(Cy)3,NaOH,THF
6-triflatequinoline,"2a, Boronic Acid",P(Cy)3,Et3N,THF
6-triflatequinoline,"2c, Trifluoroborate",CataCXium A,K3PO4,THF
Potassium quinoline-6-trifluoroborate,"2d, Bromide",AmPhos,Et3N,MeOH
6-triflatequinoline,"2a, Boronic Acid",CataCXium A,Et3N,MeOH
6-Quinolineboronic acid pinacol ester,"2d, Bromide",SPhos,CsF,THF
6-triflatequinoline,"2b, Boronic Ester",No Ligand,NaHCO3,DMF
6-triflatequinoline,"2a, Boronic Acid",SPhos,NaOH,DMF
6-Bromoquinoline,"2b, Boronic Ester",XPhos,KOH,DMF
6-Bromoquinoline,"2b, Boronic Ester",P(tBu)3,No Base,DMF
6-Bromoquinoline,"2b, Boronic Ester",No Ligand,NaHCO3,MeCN
6-Bromoquinoline,"2b, Boronic Ester",SPhos,NaHCO3,THF
6-Iodoquinoline,"2b, Boronic Ester",CataCXium A,KOH,THF
6-Bromoquinoline,"2b, Boronic Ester",XPhos,NaOH,THF
6-Iodoquinoline,"2a, Boronic Acid",P(Cy)3,NaOH,THF
Potassium quinoline-6-trifluoroborate,"2d, Bromide",P(tBu)3,K3PO4,THF
6-Bromoquinoline,"2b, Boronic Ester",dtbpf,No Base,DMF
6-Bromoquinoline,"2a, Boronic Acid",P(o-Tol)3,CsF,DMF
6-Iodoquinoline,"2c, Trifluoroborate",XPhos,LiOtBu,MeCN
6-Bromoquinoline,"2a, Boronic Acid",P(o-Tol)3,Et3N,DMF
6-Bromoquinoline,"2a, Boronic Acid",P(tBu)3,No Base,DMF
6-Bromoquinoline,"2b, Boronic Ester",P(Cy)3,K3PO4,MeOH
6-triflatequinoline,"2b, Boronic Ester",XPhos,Et3N,THF
6-Iodoquinoline,"2c, Trifluoroborate",P(o-Tol)3,NaOH,MeCN
6-Bromoquinoline,"2a, Boronic Acid",AmPhos,No Base,MeCN
6-Bromoquinoline,"2c, Trifluoroborate",dtbpf,NaOH,MeCN
6-Iodoquinoline,"2a, Boronic Acid",AmPhos,K3PO4,THF
