Palmitic Acid (C16:0),Palmitoleic Acid (C16:1),Heptadecanoic Acid (C17:0),Heptadecenoic Acid (C17:1),Stearic Acid (C18:0),Oleic Acid (C18:1),Linoleic Acid (C18:2),Linolenic Acid (C18:3),Arachidic Acid (C20:0),Gadoleic Acid (Eicosenoic) (C20:1),Behenic Acid (C22:0),Lignoceric Acid (C24:0)
20.0,1.5,0.2,0.3,2.2,67.3,7.6,0.3,0.5,0.3,0.0,0.0
16.1,1.2,0.1,0.2,2.5,72.4,6.1,0.5,0.5,0.3,0.1,0.0
13.1,0.7,0.0,0.1,2.6,77.4,4.4,0.5,0.5,0.3,0.1,0.0
12.2,0.6,0.1,0.1,2.5,76.8,6.3,0.6,0.4,0.4,0.1,0.0
13.4,0.8,0.0,0.1,2.4,73.8,8.0,0.7,0.4,0.3,0.1,0.0
13.6,1.0,0.1,0.1,3.0,75.0,5.9,0.6,0.4,0.3,0.1,0.0
13.8,1.1,0.1,0.1,2.8,71.8,8.8,0.6,0.5,0.3,0.1,0.0
16.5,1.6,0.1,0.1,2.6,63.8,13.9,0.6,0.5,0.3,0.1,0.0
15.4,1.4,0.0,0.1,2.6,65.4,13.6,0.7,0.5,0.3,0.1,0.0
13.0,0.6,0.1,0.1,2.6,76.7,5.4,0.7,0.4,0.3,0.1,0.0
12.4,0.8,0.1,0.1,3.8,75.5,5.9,0.6,0.4,0.2,0.1,0.0
14.7,0.7,0.1,0.1,2.5,67.2,12.8,0.9,0.5,0.4,0.1,0.1
12.8,0.7,0.1,0.1,2.6,76.4,5.7,0.7,0.5,0.3,0.2,0.0
12.6,0.9,0.1,0.1,3.8,75.3,5.9,0.6,0.5,0.3,0.1,0.0
14.6,1.2,0.1,0.1,3.0,65.3,14.1,0.6,0.5,0.3,0.1,0.1
15.5,1.0,0.1,0.1,2.6,63.0,16.2,0.8,0.5,0.3,0.1,0.1
15.3,0.9,0.1,0.1,2.6,63.1,16.3,0.8,0.5,0.3,0.1,0.1
14.8,0.9,0.1,0.1,2.7,65.6,14.5,0.6,0.5,0.2,0.1,0.1
17.1,1.9,0.1,0.2,2.2,62.9,14.1,0.7,0.5,0.3,0.1,0.1
17.0,1.9,0.1,0.2,2.2,62.9,14.2,0.7,0.4,0.3,0.1,0.1
14.7,1.0,0.1,0.1,2.4,64.0,16.0,0.8,0.5,0.2,0.1,0.1
14.7,1.0,0.1,0.1,2.5,64.6,15.4,0.9,0.5,0.2,0.1,0.1
14.5,0.9,0.1,0.1,2.5,64.5,15.7,0.9,0.5,0.2,0.2,0.1
14.9,1.0,0.1,0.1,2.6,67.7,11.9,0.8,0.5,0.3,0.1,0.1
15.0,1.0,0.1,0.1,2.7,65.1,14.4,0.7,0.5,0.2,0.1,0.1
11.6,0.8,0.0,0.1,4.1,77.4,4.6,0.6,0.4,0.2,0.1,0.0
16.6,1.3,0.1,0.1,2.2,67.1,11.0,0.7,0.5,0.3,0.1,0.1
11.8,0.8,0.1,0.1,4.0,76.6,5.2,0.6,0.4,0.2,0.1,0.0
9.8,0.5,0.1,0.2,3.7,75.8,8.4,0.6,0.4,0.3,0.1,0.0
12.6,0.9,0.1,0.1,3.6,72.5,8.7,0.7,0.5,0.3,0.1,0.0
14.0,0.7,0.1,0.2,3.8,70.2,9.4,0.6,0.5,0.3,0.1,0.1
15.8,1.0,0.1,0.1,2.6,63.1,15.5,0.9,0.5,0.3,0.1,0.1
14.5,0.8,0.1,0.1,3.0,68.0,11.9,0.8,0.5,0.3,0.1,0.1
14.4,0.8,0.1,0.1,3.0,68.0,12.0,0.8,0.5,0.3,0.1,0.1
15.3,0.9,0.1,0.1,2.7,66.6,12.8,0.7,0.5,0.2,0.1,0.1
15.7,1.0,0.0,0.1,2.6,65.0,14.1,0.7,0.4,0.2,0.1,0.1
15.4,0.7,0.2,0.2,3.7,66.0,12.3,0.7,0.5,0.3,0.1,0.1
13.7,0.7,0.1,0.1,2.8,70.1,10.9,0.8,0.5,0.3,0.1,0.1
14.2,0.7,0.1,0.1,2.5,70.7,10.1,0.8,0.5,0.4,0.1,0.1
14.4,0.7,0.1,0.1,2.6,69.4,11.0,0.8,0.5,0.3,0.1,0.1
14.7,0.8,0.0,0.1,2.7,68.4,11.7,0.7,0.5,0.3,0.1,0.1
15.1,1.0,0.0,0.1,2.5,64.4,15.4,0.8,0.4,0.3,0.1,0.1
15.1,1.0,0.0,0.1,2.4,63.0,17.0,0.7,0.4,0.2,0.1,0.1
