Station,NO (microg/m3),NO2 (microg/m3),O3 (microg/m3),Wind Direction (degrees),Wind speed (m/s),Temp. (ºC),Relat. Humidity (%)
Getafe,85.3,76.6,15.3,111,0.83,12.5,81
Leganés,13.5,88.5,16.1,85,0.69,10.2,84
Alcalá de Henares,82.9,57,11.4,123,1.17,10.4,88
Fuenlabrada,59,75,12.6,80,2.41,10.7,91
Móstoles,48.5,72.5,10.5,75,1.7,11.1,76
Torrejón de Ardoz,35.5,46.6,13.4,82,0.78,8.8,84
Alcorcón,50.9,73.8,14.2,72,1.06,11.1,80
Coslada,132.6,74.6,8.2,144,0.78,9.8,84
Colmenar Viejo,32.4,63.9,28.5,170,0.63,9.1,82
Aranjuez,9.7,23.7,30.8,60,1.23,10.3,89
Collado-Villalba,87.2,72,9.3,154,0.66,8.9,89
Arganda del Rey,31,38.1,18.3,119,1.11,9.8,81
Villarejo de Salv.,2.4,19.9,42,202,1.05,8.8,75
S. Martín de Vald.,4.2,19.7,25.7,172,1.2,10.3,86
Rivas-Vaciamadrid,58.1,56.2,12.8,59,1.05,11.2,84
Guadalix de la Sier.,8,23.1,29.4,162,0.76,9,86
Algete,3.4,27,41,70,2.29,11.8,77
Valdemoro,48.1,52.3,17.2,83,1,11,79
El Atazar,1,6.7,54.9,222,2.61,9.4,82
Villa del Prado,3.9,24.8,24,64,1.97,10.7,84
Orusco de Tajuña,1,9.1,74.2,220,2.13,10.3,74
